iter	Passed	Remaining
411	3676	5246
412	3684	5237
413	3692	5225
414	3699	5215
415	3706	5203
416	3715	5195
417	3723	5184
418	3731	5173
419	3783	5224
420	3797	5222
421	3810	5219
422	3863	5270
423	3876	5265
424	3888	5260
425	3916	5277
426	3925	5267
427	3967	5302
428	3978	5295
429	3987	5285
430	3996	5276
431	4004	5265
432	4012	5254
433	4018	5241
434	4026	5230
435	4033	5217
436	4041	5206
437	4047	5193
438	4055	5182
439	4062	5170
440	4068	5157
441	4076	5145
442	4082	5133
443	4090	5122
444	4098	5111
445	4106	5100
446	4112	5088
447	4120	5076
448	4126	5063
449	4132	5051
450	4140	5040
451	4147	5028
452	4154	5017
453	4161	5004
454	4168	4993
455	4176	4982
456	4183	4970
457	4191	4960
458	4201	4951
459	4209	4941
460	4217	4930
461	4223	4918
462	4231	4907
463	4237	4895
464	4244	4883
465	4252	4872
466	4258	4860
467	4267	4850
468	4274	4839
469	4282	4828
470	4288	4816
471	4296	4806
472	4306	4797
473	4315	4788
474	4321	4776
475	4329	4765
476	4335	4753
477	4342	4742
478	4349	4730
479	4356	4719
480	4364	4708
481	4370	4697
482	4377	4686
483	4385	4675
484	4393	4664
485	4402	4655
486	4411	4647
487	4419	4636
488	4427	4627
489	4434	4615
490	4442	4605
491	4449	4593
492	4456	4583
493	4463	4571
494	4469	4559
495	4477	4549
496	4484	4538
497	4491	4527
498	4498	4516
499	4505	4505
500	4513	4495
501	4520	4484
502	4527	4473
503	4534	4462
504	4541	4451
505	4548	4440
506	4556	4430
507	4562	4419
508	4570	4408
509	4577	4397
510	4584	4386
511	4592	4376
512	4602	4369
513	4610	4359
514	4618	4349
515	4624	4337
516	4631	4326
517	4638	4316
518	4645	4305
519	4653	4295
520	4659	4284
521	4667	4273
522	4673	4262
523	4680	4251
524	4687	4240
525	4693	4229
526	4703	4221
527	4711	4211
528	4719	4202
529	4726	4191
530	4734	4181
531	4740	4170
532	4748	4160
533	4755	4149
534	4762	4139
535	4769	4129
536	4777	4118
537	4785	4109
538	4795	4101
539	4803	4091
540	4810	4081
541	4818	4071
542	4826	4061
543	4832	4050
544	4838	4039
545	4846	4030
546	4853	4019
547	4860	4009
548	4867	3998
549	4874	3988
550	4881	3977
551	4887	3966
552	4894	3956
553	4900	3945
554	4908	3935
555	4916	3926
556	4924	3916
557	4930	3905
558	4937	3895
559	4944	3884
560	4950	3873
561	4958	3864
562	4964	3853
563	4972	3843
564	4979	3833
565	4987	3824
566	4995	3815
567	5005	3807
568	5013	3797
569	5021	3787
570	5027	3777
571	5035	3767
572	5042	3757
573	5049	3747
574	5056	3737
575	5062	3726
576	5070	3717
577	5076	3706
578	5084	3696
579	5090	3686
580	5098	3676
581	5105	3666
582	5114	3658
583	5120	3647
584	5127	3637
585	5135	3627
586	5142	3618
587	5152	3610
588	5158	3599
589	5166	3590
590	5173	3580
591	5180	3570
592	5188	3561
593	5196	3551
594	5205	3543
595	5215	3535
596	5223	3525
597	5231	3516
598	5237	3506
599	5245	3496
600	5251	3486
601	5259	3476
602	5265	3466
603	5271	3456
604	5281	3448
605	5287	3437
606	5295	3428
607	5301	3418
608	5309	3409
609	5317	3399
610	5324	3390
611	5331	3380
612	5338	3370
613	5344	3360
614	5351	3349
615	5359	3340
616	5365	3330
617	5373	3321
618	5380	3311
619	5387	3302
620	5396	3293
621	5406	3285
622	5414	3276
623	5421	3266
624	5427	3256
625	5435	3247
626	5443	3238
627	5453	3230
628	5460	3220
629	5468	3211
630	5474	3201
631	5481	3191
632	5489	3182
633	5495	3172
634	5503	3163
635	5510	3153
636	5517	3144
637	5526	3135
638	5536	3127
639	5542	3117
640	5550	3108
641	5556	3098
642	5562	3088
643	5569	3078
644	5576	3069
645	5584	3060
646	5593	3051
647	5604	3044
648	5612	3035
649	5639	3036
650	5673	3041
651	5730	3058
652	5773	3068
653	5784	3060
654	5798	3053
655	5806	3044
656	5814	3035
657	5828	3029
658	5837	3020
659	5845	3011
660	5857	3003
661	5864	2994
662	5873	2985
663	5881	2976
664	5890	2967
665	5898	2957
666	5906	2948
667	5916	2940
668	5924	2931
669	5930	2921
670	5938	2911
671	5944	2901
672	5951	2891
673	5958	2882
674	5965	2872
675	5974	2863
676	5981	2853
677	5994	2847
678	6004	2838
679	6012	2829
680	6020	2820
681	6027	2810
682	6035	2801
683	6042	2791
684	6049	2781
685	6056	2772
686	6062	2762
687	6069	2752
688	6076	2742
689	6083	2733
690	6090	2723
691	6098	2714
692	6105	2704
693	6112	2695
694	6119	2685
695	6125	2675
696	6133	2666
697	6140	2656
698	6147	2647
699	6155	2638
700	6162	2628
701	6169	2618
702	6176	2609
703	6184	2600
704	6190	2590
705	6201	2582
706	6211	2574
707	6219	2565
708	6227	2556
709	6235	2547
710	6245	2538
711	6251	2528
